survey_id,raw_name,var_label,value_labels,n_unique,tier_auto,pattern_id_auto,confidence_auto,tier_manuel,pattern_id_manuel,notes
govcan_parca_2024,I10D2M1O,," ; Cost; I am 86 years of age on low income; I have geothermal so spent enough on heating and cooling my home; I have just retired and don't have the funds to do an upgrade; I intent to sell my house. Not worth the investment; I plan to sell within the next 3 years so would not recoup the upfront costs; I would require more information. We are happy with our current heating system; Live in a condo; Not allowed by NL power; Selling house in couple years; The electricity price schedule does not match the brutal shift work schedule.; The system’s initial  costs are more than the returns.; Will be leaving this home in the upcoming year; actually didn't know the technology exsited; i think i'll have to take the time and do a little research...:); already keep heat low, use power at off peak hours; friends have them and are sorry they installed them as they don't work well; i have a gas furnace.; it doesn't work. Have friends who have had their thermal bricks removed; moving to a net zero new build",22,3,,0.0,,,
govcan_parca_2024,H7TIMER_TT,, ; 10; 100; 101; 102; 103; 104; 105; 106; 107; 108; 11; 110; 112; 113; 114; 115; 116; 117; 118,191,3,,0.0,,,
govcan_parca_2024,I9M1O,," ; Already done; Already have; Canada is already net zero, this is just a scam to get people to buy stuff they don't need.; Can’t afford it; Climate change is a faux crisis to impoverish Canadians.; Condo Strata; Do not own a home; Don't own the home; Finances; Have a brand new home which is built with latest energy efficient methods and materials; Have already changed insulation to energy-efficient; have replaced A/C & furnace & have purchased Energy Star appliances.  Windows completely replaced to high energy efficiency and roof shingles replaced.; I LIVE IN A CONDO/MODULAR TOWNHOUSE STYLE TO Reduce MY CARBON FOOTPRINT BY SHARING SPACE. BUILDING NOT THAT OLD, MANY APPLIANCES ALREADY VERY EFFECIENT; I RENT MY APARTMENT.; I already have (for 10+ years) solar thermal & solar voltaic panels. Neither help at night, nor do they get me anywhere near net-zero.; I already have a EV; I already have, increased insulation, installed triple pain windows and turn off lights when not needed; I already live in an all electric energy efficient home.; I am currently renting, sorry; I am willing to do my part but I believe business such as retail need to do more.",62,3,,0.0,,,
govcan_parca_2024,C8_V2B_AH,, ; 1; 2; 3; 4; 5; 9997; 9999,8,2,open_ended_text,1.0,,,
govcan_por003_q1_2023,QBUD5,, ; 1; 2; 9,4,1,open_ended_text,1.0,,,
govcan_por003_q1_2023,QBUD6B_23,, ; 1; 2; 3; 9,5,1,open_ended_text,1.0,,,
govcan_por003_q1_2024,QNEWS1JAM1,, ; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 88; 99,15,2,open_ended_text,1.0,,,
govcan_por003_q1_2024,D1313,,0; 1,2,1,binary_yes_no,0.9,,,
govcan_por003_q2_2023,QSOS2B,, ; 1; 2; 3; 4; 8; 9,7,1,open_ended_text,1.0,,,
govcan_por003_q2_2024,QBF11F,, ; 1; 2; 3; 4; 9,6,1,open_ended_text,1.0,,,
govcan_por003_q3_2022,QGST3AM2,, ; 1; 2; 3; 4; 5; 6; 88,8,2,open_ended_text,1.0,,,
govcan_por003_q3_2023,Q10,, ; 1; 2; 3; 9,5,1,open_ended_text,1.0,,,
govcan_por003_q3_2023,QENV30E,, ; 1; 2; 3; 9,5,1,open_ended_text,1.0,,,
govcan_por003_q3_2024,QJF2M2,, ; 20; 21; 22; 23; 24; 25; 26; 27,9,2,open_ended_text,1.0,,,
govcan_por003_q4_2022,QINF4A,, ; 1; 2; 3,4,1,open_ended_text,1.0,,,
govcan_por003_q4_2022,QFEU2M1,, ; 20; 21; 22; 23; 24; 26; 27; 28; 29; 30; 31; 32; 35; 36; 37; 38; 39; 40; 41,26,3,,0.0,,,
govcan_por003_q4_2023,QFEU1,, ; 1; 2; 9,4,1,open_ended_text,1.0,,,
mamh_connaissance_affaires_municipales_2023,q21_6,,(0) Non sélectionné; (1) Sélectionné,2,1,open_ended_text,1.0,,,
mamh_connaissance_affaires_municipales_2024,q7_d,,0; 1,2,1,binary_yes_no,0.9,,,
mamh_milieu_vie_citoyens,Unnamed: 14,,0.002; 0.003; 0.004; 0.005; 0.006; 0.007; 0.008; 0.009; 0.01; 0.011; 0.012; 0.013; 0.014; 0.015; 0.016; 0.017; 0.018; 0.019; 0.02; 0.021,709,3,,0.0,,,
municipal_canada_elxn_2020,municipality,,"100 Mile House; Abbotsford; Abercorn; Acadia No. 34; Acadia No. 34, M.D. Of; Acadian Peninsula rural district / district rural de la Péninsule acadienne; Acme; Acton Vale; Addington Highlands; Adelaide Metcalfe; Adjala-Tosorontio; Admaston/Bromley; Adstock; Aguanish; Airdrie; Ajax; Albanel; Alberni-Clayoquot; Alberta Beach; Alberton",2174,3,,0.0,,,
provincial_qc_2012,PQ3A,,Coalition avenir Québec - L'équipe François Legault; Don't know; Green Party of Québec; Option nationale; Parti québécois; Qubec solidaire; Quebec Liberal Party,7,2,,0.0,,,
provincial_qc_2018,q3a2,2e raison pour le vote,3.0; 5.0; 6.0; 9.0; 10.0; 13.0; 16.0; 18.0; 20.0; 22.0; 23.0; 25.0; 26.0; 27.0; 31.0; 32.0; 33.0; 34.0,18,2,percentage_scale,0.7,,,
satis_municipalites_2016,Q13D,,1; 2; 3; 4; 9,5,1,province_qc,0.8,,,
services_collectif_quebec-city_2019,q5,,0 - Pas du tout probable; 1; 10 - Extrźmement probable; 2; 3; 4; 5; 6; 7; 8; 9; Je ne sais pas / Je préfčre ne pas répondre,12,2,open_ended_text,1.0,,,
